lum,slope,obs,background
25.0,2.2050396825396827,sub1,variegated
32.0,1.850261904761905,sub1,variegated
42.0,3.1192962962962962,sub1,variegated
54.0,1.5082870370370347,sub1,variegated
67.0,1.9108333333333352,sub1,variegated
83.0,2.3205555555555577,sub1,variegated
100.0,1.4298611111111086,sub1,variegated
116.5,0.8297385620915032,sub1,variegated
131.0,1.353703703703701,sub1,variegated
25.0,1.554666666666667,sub1,homogeneous
32.0,1.2818750000000003,sub1,homogeneous
42.0,0.7637222222222219,sub1,homogeneous
54.0,1.6270277777777764,sub1,homogeneous
67.0,-0.08530952380952275,sub1,homogeneous
83.0,4.023388888888888,sub1,homogeneous
100.0,2.312291666666667,sub1,homogeneous
116.5,2.1372549019607865,sub1,homogeneous
131.0,0.31472222222222257,sub1,homogeneous
25.0,0.8662777777777771,sub2,variegated
32.0,1.4869999999999992,sub2,variegated
42.0,2.9290833333333333,sub2,variegated
54.0,2.213916666666666,sub2,variegated
67.0,2.435404761904761,sub2,variegated
83.0,2.2140740740740736,sub2,variegated
100.0,1.734583333333335,sub2,variegated
116.5,3.044117647058825,sub2,variegated
131.0,1.2188888888888911,sub2,variegated
25.0,1.2542777777777772,sub2,homogeneous
32.0,1.1832083333333334,sub2,homogeneous
42.0,1.427888888888889,sub2,homogeneous
54.0,1.289972222222224,sub2,homogeneous
67.0,1.4796666666666656,sub2,homogeneous
83.0,4.002833333333332,sub2,homogeneous
100.0,0.8756250000000012,sub2,homogeneous
116.5,0.2688235294117643,sub2,homogeneous
131.0,1.9569444444444433,sub2,homogeneous
25.0,1.3648333333333345,sub3,variegated
32.0,2.2916666666666643,sub3,variegated
42.0,1.2480277777777797,sub3,variegated
54.0,1.9426388888888866,sub3,variegated
67.0,2.0860714285714295,sub3,variegated
83.0,1.6677777777777782,sub3,variegated
100.0,1.7416666666666671,sub3,variegated
116.5,0.2578431372548998,sub3,variegated
131.0,2.0894444444444438,sub3,variegated
25.0,1.259722222222221,sub3,homogeneous
32.0,1.3914583333333357,sub3,homogeneous
42.0,1.2559444444444434,sub3,homogeneous
54.0,0.9214444444444455,sub3,homogeneous
67.0,0.8245476190476181,sub3,homogeneous
83.0,3.089148148148146,sub3,homogeneous
100.0,1.2331250000000011,sub3,homogeneous
116.5,1.0701960784313707,sub3,homogeneous
131.0,1.094444444444446,sub3,homogeneous
25.0,1.7921111111111128,sub4,variegated
32.0,1.9472083333333314,sub4,variegated
42.0,1.9047777777777768,sub4,variegated
54.0,2.0035833333333337,sub4,variegated
67.0,1.4327380952380966,sub4,variegated
83.0,1.156037037037037,sub4,variegated
100.0,1.8293749999999989,sub4,variegated
116.5,0.796666666666666,sub4,variegated
131.0,1.9016666666666684,sub4,variegated
25.0,1.5921111111111113,sub4,homogeneous
32.0,0.8766666666666669,sub4,homogeneous
42.0,1.3102222222222213,sub4,homogeneous
54.0,1.0279722222222223,sub4,homogeneous
67.0,1.1991666666666672,sub4,homogeneous
83.0,3.724481481481481,sub4,homogeneous
100.0,1.9952083333333341,sub4,homogeneous
116.5,1.677450980392156,sub4,homogeneous
131.0,0.9316666666666696,sub4,homogeneous
25.0,1.9969999999999988,sub5,variegated
32.0,2.677083333333334,sub5,variegated
42.0,1.906416666666665,sub5,variegated
54.0,2.286027777777779,sub5,variegated
67.0,1.140666666666668,sub5,variegated
83.0,1.613703703703703,sub5,variegated
100.0,0.8333333333333304,sub5,variegated
116.5,0.3841176470588253,sub5,variegated
131.0,3.5005555555555596,sub5,variegated
25.0,1.1702777777777786,sub5,homogeneous
32.0,0.7688749999999995,sub5,homogeneous
42.0,1.2453888888888882,sub5,homogeneous
54.0,0.8972500000000009,sub5,homogeneous
67.0,0.5045476190476198,sub5,homogeneous
83.0,3.275425925925925,sub5,homogeneous
100.0,1.3139583333333347,sub5,homogeneous
116.5,0.7196078431372541,sub5,homogeneous
131.0,2.207777777777776,sub5,homogeneous
25.0,4.345833333333332,sub6,variegated
32.0,3.495375000000001,sub6,variegated
42.0,0.749305555555555,sub6,variegated
54.0,2.4365277777777763,sub6,variegated
67.0,1.2600238095238123,sub6,variegated
83.0,2.09074074074074,sub6,variegated
100.0,-0.09291666666666565,sub6,variegated
116.5,0.7617647058823489,sub6,variegated
131.0,2.5275000000000034,sub6,variegated
25.0,1.5582777777777779,sub6,homogeneous
32.0,0.7454166666666664,sub6,homogeneous
42.0,2.385166666666666,sub6,homogeneous
54.0,1.1998888888888903,sub6,homogeneous
67.0,1.5504761904761903,sub6,homogeneous
83.0,2.6996111111111114,sub6,homogeneous
100.0,2.053750000000001,sub6,homogeneous
116.5,1.1658823529411744,sub6,homogeneous
131.0,-0.8286111111111083,sub6,homogeneous
25.0,1.4799444444444443,sub7,variegated
32.0,2.317708333333332,sub7,variegated
42.0,1.8561666666666685,sub7,variegated
54.0,1.158388888888889,sub7,variegated
67.0,1.9384523809523801,sub7,variegated
83.0,1.6233148148148158,sub7,variegated
100.0,2.2883541666666645,sub7,variegated
116.5,0.6935294117647054,sub7,variegated
131.0,1.7294444444444441,sub7,variegated
25.0,1.6496111111111116,sub7,homogeneous
32.0,1.0340416666666679,sub7,homogeneous
42.0,0.9276111111111097,sub7,homogeneous
54.0,0.9901944444444446,sub7,homogeneous
67.0,1.6968333333333325,sub7,homogeneous
83.0,3.9395555555555557,sub7,homogeneous
100.0,1.1724999999999994,sub7,homogeneous
116.5,1.5113725490196108,sub7,homogeneous
131.0,-0.018055555555558083,sub7,homogeneous
25.0,1.424666666666667,test,variegated
32.0,2.364916666666667,test,variegated
42.0,1.4622777777777773,test,variegated
54.0,2.940055555555555,test,variegated
67.0,3.4505000000000012,test,variegated
83.0,1.8066666666666658,test,variegated
100.0,4.069166666666668,test,variegated
116.5,1.3201960784313755,test,variegated
131.0,2.1347222222222135,test,variegated
25.0,1.099944444444444,test,homogeneous
32.0,0.9690416666666675,test,homogeneous
42.0,1.3605,test,homogeneous
54.0,1.3411944444444448,test,homogeneous
67.0,0.9569761904761894,test,homogeneous
83.0,2.379185185185185,test,homogeneous
100.0,2.217916666666669,test,homogeneous
116.5,2.1903921568627425,test,homogeneous
131.0,1.0158333333333331,test,homogeneous
